Topic,Characteristic,Note,Total
Population and dwellings,"Population, 2021",1,126666
Population and dwellings,"Population, 2016",1,119677
Population and dwellings,"Population percentage change, 2016 to 2021",,5.8
Population and dwellings,Total private dwellings,2,40275
Population and dwellings,Private dwellings occupied by usual residents,3,39488
Population and dwellings,Population density per square kilometre,,1900.6
Population and dwellings,Land area in square kilometres,,66.64
Age characteristics,Total - Age groups of the population - 100% data,,126665
Age characteristics,  0 to 14 years,,23805
Age characteristics,    0 to 4 years,,7185
Age characteristics,    5 to 9 years,,8050
Age characteristics,    10 to 14 years,,8565
Age characteristics,  15 to 64 years,,86275
Age characteristics,    15 to 19 years,,8305
Age characteristics,    20 to 24 years,,8180
Age characteristics,    25 to 29 years,,8235
Age characteristics,    30 to 34 years,,8565
Age characteristics,    35 to 39 years,,9235
Age characteristics,    40 to 44 years,,8990
Age characteristics,    45 to 49 years,,8665
Age characteristics,    50 to 54 years,,8700
Age characteristics,    55 to 59 years,,9355
Age characteristics,    60 to 64 years,,8050
Age characteristics,  65 years and over,,16585
Age characteristics,    65 to 69 years,,5680
Age characteristics,    70 to 74 years,,4490
Age characteristics,    75 to 79 years,,2890
Age characteristics,    80 to 84 years,,1790
Age characteristics,    85 years and over,,1745
Age characteristics,      85 to 89 years,,1120
Age characteristics,      90 to 94 years,,500
Age characteristics,      95 to 99 years,,110
Age characteristics,      100 years and over,,10
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100
Age characteristics,  0 to 14 years,,18.8
Age characteristics,  15 to 64 years,,68.1
Age characteristics,  65 years and over,,13.1
Age characteristics,    85 years and over,,1.4
Age characteristics,Average age of the population,,38.6
Age characteristics,Median age of the population,,38.4
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,39490
Household and dwelling characteristics,  Single-detached house,,25560
Household and dwelling characteristics,  Semi-detached house,,2260
Household and dwelling characteristics,  Row house,,6025
Household and dwelling characteristics,  Apartment or flat in a duplex,,1385
Household and dwelling characteristics,  Apartment in a building that has fewer than five storeys,,1605
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,2640
Household and dwelling characteristics,  Other single-attached house,,15
Household and dwelling characteristics,  Movable dwelling,4,5
Household and dwelling characteristics,Total - Private households by household size - 100% data,,39490
Household and dwelling characteristics,  1 person,,5555
Household and dwelling characteristics,  2 persons,,9805
Household and dwelling characteristics,  3 persons,,7925
Household and dwelling characteristics,  4 persons,,8975
Household and dwelling characteristics,  5 or more persons,,7220
Household and dwelling characteristics,Number of persons in private households,,126250
Household and dwelling characteristics,Average household size,,3.2
Marital status,Total - Marital status for the total population aged 15 years and over - 100% data,,102860
Marital status,  Married or living common-law,,59825
Marital status,    Married,,54085
Marital status,    Living common-law,,5740
Marital status,      Living common law - Never married,,4030
Marital status,      Living common law - Separated,,290
Marital status,      Living common law - Divorced,,1300
Marital status,      Living common law - Widowed,,125
Marital status,  Not married and not living common-law,,43035
Marital status,    Not married and not living common law - Never married,,31140
Marital status,    Not married and not living common law - Separated,,2705
Marital status,    Not married and not living common law - Divorced,,4855
Marital status,    Not married and not living common law - Widowed,,4340
Family characteristics,Total - Census families in private households by family size - 100% data,5,35820
Family characteristics,  2 persons,,13120
Family characteristics,  3 persons,,8970
Family characteristics,  4 persons,,9470
Family characteristics,  5 or more persons,,4260
Family characteristics,Average size of census families,,3.2
Family characteristics,Average number of children in census families with children,6,1.8
Family characteristics,Total number of census families in private households - 100% data,,35825
Family characteristics,  Total couple families,,29200
Family characteristics,    Married couples,,26330
Family characteristics,      With children,6,18350
