Topic,Characteristic,Note,Total
Population and dwellings,"Population, 2021",1,656480
Population and dwellings,"Population, 2016",1,593638
Population and dwellings,"Population percentage change, 2016 to 2021",,10.6
Population and dwellings,Total private dwellings,2,189086
Population and dwellings,Private dwellings occupied by usual residents,3,182472
Population and dwellings,Population density per square kilometre,,2469
Population and dwellings,Land area in square kilometres,,265.89
Age characteristics,Total - Age groups of the population - 100% data,,656480
Age characteristics,  0 to 14 years,,117660
Age characteristics,    0 to 4 years,,35770
Age characteristics,    5 to 9 years,,39580
Age characteristics,    10 to 14 years,,42305
Age characteristics,  15 to 64 years,,456990
Age characteristics,    15 to 19 years,,42890
Age characteristics,    20 to 24 years,,56715
Age characteristics,    25 to 29 years,,54010
Age characteristics,    30 to 34 years,,49020
Age characteristics,    35 to 39 years,,48645
Age characteristics,    40 to 44 years,,45850
Age characteristics,    45 to 49 years,,43525
Age characteristics,    50 to 54 years,,41900
Age characteristics,    55 to 59 years,,40550
Age characteristics,    60 to 64 years,,33890
Age characteristics,  65 years and over,,81830
Age characteristics,    65 to 69 years,,27185
Age characteristics,    70 to 74 years,,22655
Age characteristics,    75 to 79 years,,14905
Age characteristics,    80 to 84 years,,9310
Age characteristics,    85 years and over,,7780
Age characteristics,      85 to 89 years,,5065
Age characteristics,      90 to 94 years,,2085
Age characteristics,      95 to 99 years,,535
Age characteristics,      100 years and over,,95
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100
Age characteristics,  0 to 14 years,,17.9
Age characteristics,  15 to 64 years,,69.6
Age characteristics,  65 years and over,,12.5
Age characteristics,    85 years and over,,1.2
Age characteristics,Average age of the population,,37.5
Age characteristics,Median age of the population,,36
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,182475
Household and dwelling characteristics,  Single-detached house,,96020
Household and dwelling characteristics,  Semi-detached house,,24750
Household and dwelling characteristics,  Row house,,23055
Household and dwelling characteristics,  Apartment or flat in a duplex,,11960
Household and dwelling characteristics,  Apartment in a building that has fewer than five storeys,,8045
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,18585
Household and dwelling characteristics,  Other single-attached house,,35
Household and dwelling characteristics,  Movable dwelling,4,20
Household and dwelling characteristics,Total - Private households by household size - 100% data,,182470
Household and dwelling characteristics,  1 person,,22140
Household and dwelling characteristics,  2 persons,,35990
Household and dwelling characteristics,  3 persons,,34145
Household and dwelling characteristics,  4 persons,,42935
Household and dwelling characteristics,  5 or more persons,,47265
Household and dwelling characteristics,Number of persons in private households,,650165
Household and dwelling characteristics,Average household size,,3.6
Marital status,Total - Marital status for the total population aged 15 years and over - 100% data,,538820
Marital status,  Married or living common-law,,305995
Marital status,    Married,,288065
Marital status,    Living common-law,,17930
Marital status,      Living common law - Never married,,12200
Marital status,      Living common law - Separated,,1130
Marital status,      Living common law - Divorced,,4230
Marital status,      Living common law - Widowed,,370
Marital status,  Not married and not living common-law,,232825
Marital status,    Not married and not living common law - Never married,,178220
Marital status,    Not married and not living common law - Separated,,11700
Marital status,    Not married and not living common law - Divorced,,20420
Marital status,    Not married and not living common law - Widowed,,22485
Family characteristics,Total - Census families in private households by family size - 100% data,5,175190
Family characteristics,  2 persons,,61555
Family characteristics,  3 persons,,43135
Family characteristics,  4 persons,,50440
Family characteristics,  5 or more persons,,20060
Family characteristics,Average size of census families,,3.2
Family characteristics,Average number of children in census families with children,6,1.9
Family characteristics,Total number of census families in private households - 100% data,,175190
Family characteristics,  Total couple families,,145685
Family characteristics,    Married couples,,136740
Family characteristics,      With children,6,95185
Family characteristics,      Without children,,41550
Family characteristics,    Common-law couples,,8945
Family characteristics,      With children,6,4835
Family characteristics,      Without children,,4110
Family characteristics,  Total one-parent families,,29505
Family characteristics,    in which the parent is a woman+,,24045
Family characteristics,    in which the parent is a man+,,5460
