Topic,Characteristic,Note,Total
Population and dwellings,"Population, 2021",1,125435
Population and dwellings,"Population, 2016",1,123180
Population and dwellings,"Population percentage change, 2016 to 2021",,1.8
Population and dwellings,Total private dwellings,2,53208
Population and dwellings,Private dwellings occupied by usual residents,3,51916
Population and dwellings,Population density per square kilometre,,1651.3
Population and dwellings,Land area in square kilometres,,75.96
Age characteristics,Total - Age groups of the population - 100% data,,125435
Age characteristics,  0 to 14 years,,18330
Age characteristics,    0 to 4 years,,5810
Age characteristics,    5 to 9 years,,6230
Age characteristics,    10 to 14 years,,6290
Age characteristics,  15 to 64 years,,77115
Age characteristics,    15 to 19 years,,6435
Age characteristics,    20 to 24 years,,6170
Age characteristics,    25 to 29 years,,6575
Age characteristics,    30 to 34 years,,7470
Age characteristics,    35 to 39 years,,8120
Age characteristics,    40 to 44 years,,7805
Age characteristics,    45 to 49 years,,7930
Age characteristics,    50 to 54 years,,8430
Age characteristics,    55 to 59 years,,9370
Age characteristics,    60 to 64 years,,8805
Age characteristics,  65 years and over,,29990
Age characteristics,    65 to 69 years,,7495
Age characteristics,    70 to 74 years,,7390
Age characteristics,    75 to 79 years,,5945
Age characteristics,    80 to 84 years,,4390
Age characteristics,    85 years and over,,4775
Age characteristics,      85 to 89 years,,2920
Age characteristics,      90 to 94 years,,1375
Age characteristics,      95 to 99 years,,435
Age characteristics,      100 years and over,,50
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100
Age characteristics,  0 to 14 years,,14.6
Age characteristics,  15 to 64 years,,61.5
Age characteristics,  65 years and over,,23.9
Age characteristics,    85 years and over,,3.8
Age characteristics,Average age of the population,,45.1
Age characteristics,Median age of the population,,46
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,51920
Household and dwelling characteristics,  Single-detached house,,25220
Household and dwelling characteristics,  Semi-detached house,,1980
Household and dwelling characteristics,  Row house,,8695
Household and dwelling characteristics,  Apartment or flat in a duplex,,645
Household and dwelling characteristics,  Apartment in a building that has fewer than five storeys,,3250
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,12045
Household and dwelling characteristics,  Other single-attached house,,80
Household and dwelling characteristics,  Movable dwelling,4,10
Household and dwelling characteristics,Total - Private households by household size - 100% data,,51915
Household and dwelling characteristics,  1 person,,14480
Household and dwelling characteristics,  2 persons,,18550
Household and dwelling characteristics,  3 persons,,8040
Household and dwelling characteristics,  4 persons,,7635
Household and dwelling characteristics,  5 or more persons,,3215
Household and dwelling characteristics,Number of persons in private households,,123510
Household and dwelling characteristics,Average household size,,2.4
Marital status,Total - Marital status for the total population aged 15 years and over - 100% data,,107105
Marital status,  Married or living common-law,,63570
Marital status,    Married,,54060
Marital status,    Living common-law,,9515
Marital status,      Living common law - Never married,,6225
Marital status,      Living common law - Separated,,565
Marital status,      Living common law - Divorced,,2420
Marital status,      Living common law - Widowed,,305
Marital status,  Not married and not living common-law,,43535
Marital status,    Not married and not living common law - Never married,,25875
Marital status,    Not married and not living common law - Separated,,3075
Marital status,    Not married and not living common law - Divorced,,7150
Marital status,    Not married and not living common law - Widowed,,7435
Family characteristics,Total - Census families in private households by family size - 100% data,5,36865
Family characteristics,  2 persons,,19205
Family characteristics,  3 persons,,7955
Family characteristics,  4 persons,,7390
Family characteristics,  5 or more persons,,2315
Family characteristics,Average size of census families,,2.8
Family characteristics,Average number of children in census families with children,6,1.7
Family characteristics,Total number of census families in private households - 100% data,,36865
