Topic,Characteristic,Note,Total
Population and dwellings,"Population, 2021",1,338503
Population and dwellings,"Population, 2016",1,328966
Population and dwellings,"Population percentage change, 2016 to 2021",,2.9
Population and dwellings,Total private dwellings,2,114908
Population and dwellings,Private dwellings occupied by usual residents,3,110867
Population and dwellings,Population density per square kilometre,,1604.8
Population and dwellings,Land area in square kilometres,,210.93
Age characteristics,Total - Age groups of the population - 100% data,,338500
Age characteristics,  0 to 14 years,,53880
Age characteristics,    0 to 4 years,,14350
Age characteristics,    5 to 9 years,,18775
Age characteristics,    10 to 14 years,,20760
Age characteristics,  15 to 64 years,,222560
Age characteristics,    15 to 19 years,,20555
Age characteristics,    20 to 24 years,,20345
Age characteristics,    25 to 29 years,,21360
Age characteristics,    30 to 34 years,,21540
Age characteristics,    35 to 39 years,,21830
Age characteristics,    40 to 44 years,,21530
Age characteristics,    45 to 49 years,,24015
Age characteristics,    50 to 54 years,,24180
Age characteristics,    55 to 59 years,,24835
Age characteristics,    60 to 64 years,,22380
Age characteristics,  65 years and over,,62060
Age characteristics,    65 to 69 years,,20080
Age characteristics,    70 to 74 years,,17120
Age characteristics,    75 to 79 years,,10640
Age characteristics,    80 to 84 years,,7305
Age characteristics,    85 years and over,,6915
Age characteristics,      85 to 89 years,,4325
Age characteristics,      90 to 94 years,,1975
Age characteristics,      95 to 99 years,,530
Age characteristics,      100 years and over,,85
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100
Age characteristics,  0 to 14 years,,15.9
Age characteristics,  15 to 64 years,,65.7
Age characteristics,  65 years and over,,18.3
Age characteristics,    85 years and over,,2
Age characteristics,Average age of the population,,41.8
Age characteristics,Median age of the population,,42.4
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,110865
Household and dwelling characteristics,  Single-detached house,,62270
Household and dwelling characteristics,  Semi-detached house,,6985
Household and dwelling characteristics,  Row house,,15985
Household and dwelling characteristics,  Apartment or flat in a duplex,,6075
Household and dwelling characteristics,  Apartment in a building that has fewer than five storeys,,1905
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,17635
Household and dwelling characteristics,  Other single-attached house,,5
Household and dwelling characteristics,  Movable dwelling,4,5
Household and dwelling characteristics,Total - Private households by household size - 100% data,,110870
Household and dwelling characteristics,  1 person,,17295
Household and dwelling characteristics,  2 persons,,30515
Household and dwelling characteristics,  3 persons,,22460
Household and dwelling characteristics,  4 persons,,23525
Household and dwelling characteristics,  5 or more persons,,17070
Household and dwelling characteristics,Number of persons in private households,,337250
Household and dwelling characteristics,Average household size,,3
Marital status,Total - Marital status for the total population aged 15 years and over - 100% data,,284620
Marital status,  Married or living common-law,,173985
Marital status,    Married,,163935
Marital status,    Living common-law,,10055
Marital status,      Living common law - Never married,,6850
Marital status,      Living common law - Separated,,425
Marital status,      Living common law - Divorced,,2560
Marital status,      Living common law - Widowed,,220
Marital status,  Not married and not living common-law,,110630
Marital status,    Not married and not living common law - Never married,,78525
Marital status,    Not married and not living common law - Separated,,5320
Marital status,    Not married and not living common law - Divorced,,13695
Marital status,    Not married and not living common law - Widowed,,13100
Family characteristics,Total - Census families in private households by family size - 100% data,5,98415
Family characteristics,  2 persons,,39625
Family characteristics,  3 persons,,25565
Family characteristics,  4 persons,,25335
Family characteristics,  5 or more persons,,7900
Family characteristics,Average size of census families,,3
Family characteristics,Average number of children in census families with children,6,1.7
Family characteristics,Total number of census families in private households - 100% data,,98420
Family characteristics,  Total couple families,,83830
Family characteristics,    Married couples,,78810
Family characteristics,      With children,6,50915
Family characteristics,      Without children,,27895
Family characteristics,    Common-law couples,,5025
Family characteristics,      With children,6,2080
Family characteristics,      Without children,,2945
Family characteristics,  Total one-parent families,,14580
Family characteristics,    in which the parent is a woman+,,11760
Family characteristics,    in which the parent is a man+,,2820
Family characteristics,Total - Persons in private households - 100% data,,337255
Family characteristics,  Total - Persons in census families,,298490
Family characteristics,    Married spouses or common-law partners,,167670
Family characteristics,    Parents in one-parent families,,14585
Family characteristics,    Children,6,116240
Family characteristics,      In a two-parent family,,94135
Family characteristics,      In a one-parent family,,22105
Family characteristics,  Total - Persons not in census families in private households - 100% data,,38765
Family characteristics,    Living alone,,17295
Family characteristics,    Living with other relatives,7,12505
