Topic,Characteristic,Note,Total
Population and dwellings,"Population, 2021",1,124579
Population and dwellings,"Population, 2016",1,101885
Population and dwellings,"Population percentage change, 2016 to 2021",,22.3
Population and dwellings,Total private dwellings,2,37981
Population and dwellings,Private dwellings occupied by usual residents,3,37179
Population and dwellings,Population density per square kilometre,,2755.9
Population and dwellings,Land area in square kilometres,,45.2
Age characteristics,Total - Age groups of the population - 100% data,,124580
Age characteristics,  0 to 14 years,,30830
Age characteristics,    0 to 4 years,,8595
Age characteristics,    5 to 9 years,,10645
Age characteristics,    10 to 14 years,,11590
Age characteristics,  15 to 64 years,,82305
Age characteristics,    15 to 19 years,,8950
Age characteristics,    20 to 24 years,,6365
Age characteristics,    25 to 29 years,,6455
Age characteristics,    30 to 34 years,,8950
Age characteristics,    35 to 39 years,,10985
Age characteristics,    40 to 44 years,,11940
Age characteristics,    45 to 49 years,,10460
Age characteristics,    50 to 54 years,,7875
Age characteristics,    55 to 59 years,,5885
Age characteristics,    60 to 64 years,,4425
Age characteristics,  65 years and over,,11445
Age characteristics,    65 to 69 years,,3770
Age characteristics,    70 to 74 years,,3395
Age characteristics,    75 to 79 years,,2110
Age characteristics,    80 to 84 years,,1175
Age characteristics,    85 years and over,,1000
Age characteristics,      85 to 89 years,,635
Age characteristics,      90 to 94 years,,310
Age characteristics,      95 to 99 years,,50
Age characteristics,      100 years and over,,5
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100
Age characteristics,  0 to 14 years,,24.7
Age characteristics,  15 to 64 years,,66.1
Age characteristics,  65 years and over,,9.2
Age characteristics,    85 years and over,,0.8
Age characteristics,Average age of the population,,34.6
Age characteristics,Median age of the population,,35.2
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,37180
Household and dwelling characteristics,  Single-detached house,,19970
Household and dwelling characteristics,  Semi-detached house,,3740
Household and dwelling characteristics,  Row house,,9105
Household and dwelling characteristics,  Apartment or flat in a duplex,,265
Household and dwelling characteristics,  Apartment in a building that has fewer than five storeys,,1895
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,2185
Household and dwelling characteristics,  Other single-attached house,,10
Household and dwelling characteristics,  Movable dwelling,4,5
Household and dwelling characteristics,Total - Private households by household size - 100% data,,37180
Household and dwelling characteristics,  1 person,,4670
Household and dwelling characteristics,  2 persons,,8270
Household and dwelling characteristics,  3 persons,,6975
Household and dwelling characteristics,  4 persons,,9915
Household and dwelling characteristics,  5 or more persons,,7345
Household and dwelling characteristics,Number of persons in private households,,123090
Household and dwelling characteristics,Average household size,,3.3
Marital status,Total - Marital status for the total population aged 15 years and over - 100% data,,93750
Marital status,  Married or living common-law,,60635
Marital status,    Married,,55470
Marital status,    Living common-law,,5165
Marital status,      Living common law - Never married,,3650
Marital status,      Living common law - Separated,,270
Marital status,      Living common law - Divorced,,1160
Marital status,      Living common law - Widowed,,90
Marital status,  Not married and not living common-law,,33110
Marital status,    Not married and not living common law - Never married,,24460
