Topic,Characteristic,Note,Total,
Population and dwellings,"Population, 2021",1,717961,
Population and dwellings,"Population, 2016",1,721599,
Population and dwellings,"Population percentage change, 2016 to 2021",,-0.5,
Population and dwellings,Total private dwellings,2,254089,
Population and dwellings,Private dwellings occupied by usual residents,3,244575,
Population and dwellings,Population density per square kilometre,,2452.5,
Population and dwellings,Land area in square kilometres,,292.74,
Age characteristics,Total - Age groups of the population - 100% data,,717960,
Age characteristics,  0 to 14 years,,109320,
Age characteristics,    0 to 4 years,,31595,
Age characteristics,    5 to 9 years,,36740,
Age characteristics,    10 to 14 years,,40980,
Age characteristics,  15 to 64 years,,489245,
Age characteristics,    15 to 19 years,,44665,
Age characteristics,    20 to 24 years,,51660,
Age characteristics,    25 to 29 years,,51740,
Age characteristics,    30 to 34 years,,48420,
Age characteristics,    35 to 39 years,,46900,
Age characteristics,    40 to 44 years,,44290,
Age characteristics,    45 to 49 years,,46350,
Age characteristics,    50 to 54 years,,51670,
Age characteristics,    55 to 59 years,,55175,
Age characteristics,    60 to 64 years,,48360,
Age characteristics,  65 years and over,,119400,
Age characteristics,    65 to 69 years,,37880,
Age characteristics,    70 to 74 years,,30975,
Age characteristics,    75 to 79 years,,21165,
Age characteristics,    80 to 84 years,,14710,
Age characteristics,    85 years and over,,14670,
Age characteristics,      85 to 89 years,,9115,
Age characteristics,      90 to 94 years,,4285,
Age characteristics,      95 to 99 years,,1125,
Age characteristics,      100 years and over,,155,
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100,
Age characteristics,  0 to 14 years,,15.2,
Age characteristics,  15 to 64 years,,68.1,
Age characteristics,  65 years and over,,16.6,
Age characteristics,    85 years and over,,2,
Age characteristics,Average age of the population,,41.1,
Age characteristics,Median age of the population,,40.8,
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,244575,
Household and dwelling characteristics,  Single-detached house,,90660,
Household and dwelling characteristics,  Semi-detached house,,26855,
Household and dwelling characteristics,  Row house,,34455,
Household and dwelling characteristics,  Apartment or flat in a duplex,,7895,
Household and dwelling characteristics,  Apartment in a building that has fewer than five storeys,,17545,
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,66830,
Household and dwelling characteristics,  Other single-attached house,,80,
Household and dwelling characteristics,  Movable dwelling,4,255,
Household and dwelling characteristics,Total - Private households by household size - 100% data,,244575,
Household and dwelling characteristics,  1 person,,47335,
Household and dwelling characteristics,  2 persons,,67705,
Household and dwelling characteristics,  3 persons,,47360,
Household and dwelling characteristics,  4 persons,,47210,
Household and dwelling characteristics,  5 or more persons,,34965,
Household and dwelling characteristics,Number of persons in private households,,712825,
Household and dwelling characteristics,Average household size,,2.9,
Marital status,Total - Marital status for the total population aged 15 years and over - 100% data,,608645,
Marital status,  Married or living common-law,,342985,
Marital status,    Married,,316235,
Marital status,    Living common-law,,26750,
Marital status,      Living common law - Never married,,18380,
Marital status,      Living common law - Separated,,1320,
Marital status,      Living common law - Divorced,,6410,
Marital status,      Living common law - Widowed,,645,
Marital status,  Not married and not living common-law,,265660,
Marital status,    Not married and not living common law - Never married,,190760,
Marital status,    Not married and not living common law - Separated,,14180,
Marital status,    Not married and not living common law - Divorced,,30475,
Marital status,    Not married and not living common law - Widowed,,30240,
Family characteristics,Total - Census families in private households by family size - 100% data,5,200800,
Family characteristics,  2 persons,,81180,
Family characteristics,  3 persons,,50845,
Family characteristics,  4 persons,,48155,
Family characteristics,  5 or more persons,,20620,
Family characteristics,Average size of census families,,3.1,
Family characteristics,Average number of children in census families with children,6,1.8,
Family characteristics,Total number of census families in private households - 100% data,,200800,
Family characteristics,  Total couple families,,165710,
Family characteristics,    Married couples,,152350,
Family characteristics,      With children,6,100340,
Family characteristics,      Without children,,52010,
Family characteristics,    Common-law couples,,13355,
Family characteristics,      With children,6,5330,
Family characteristics,      Without children,,8025,
Family characteristics,  Total one-parent families,,35090,
Family characteristics,    in which the parent is a woman+,,28715,
Family characteristics,    in which the parent is a man+,,6380,
Family characteristics,Total - Persons in private households - 100% data,,712825,
Family characteristics,  Total - Persons in census families,,617560,
Family characteristics,    Married spouses or common-law partners,,331415,
Family characteristics,    Parents in one-parent families,,35095,
Family characteristics,    Children,6,251055,
Family characteristics,      In a two-parent family,,196690,
Family characteristics,      In a one-parent family,,54365,
Family characteristics,  Total - Persons not in census families in private households - 100% data,,95265,
Family characteristics,    Living alone,,47335,
Family characteristics,    Living with other relatives,7,23355,
Family characteristics,    Living with non-relatives only,,24575,
Household type,Total - Household type - 100% data,,244575,
Household type,  One-census-family households without additional persons,,158795,
Household type,    Couple-family households,,133805,
Household type,      With children,6,87100,
Household type,      Without children,,46705,
Household type,    One-parent-family households,,24990,
Household type,  Multigenerational households,8,15945,
Household type,  Multiple-census-family households,9,3305,
Household type,  One-census-family households with additional persons,9,9850,
Household type,  Two-or-more-person non-census-family households ,,9350,
Household type,  One-person households,,47335,
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,10,603590,
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,,571335,
Income of individuals in 2020,    Median total income in 2020 among recipients ($),,39200,
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,,571620,
Income of individuals in 2020,    Median after-tax income in 2020 among recipients ($),,35600,
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,,502730,
Income of individuals in 2020,    Median market income in 2020 among recipients ($),,34800,
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,,416025,
Income of individuals in 2020,    Median employment income in 2020 among recipients ($),,38800,
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,,518755,
Income of individuals in 2020,    Median government transfers in 2020 among recipients ($),,7800,
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,,53615,
Income of individuals in 2020,    Median employment insurance benefits in 2020 among recipients ($),,5480,
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,,188245,
Income of individuals in 2020,    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($),,9000,
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,11,603595,
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,,571305,
Income of individuals in 2020,    Average total income in 2020 among recipients ($),,54150,
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,,571595,
Income of individuals in 2020,    Average after-tax income in 2020 among recipients ($),,44640,
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,,502720,
Income of individuals in 2020,    Average market income in 2020 among recipients ($),,51120,
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,,416030,
Income of individuals in 2020,    Average employment income in 2020 among recipients ($),,52450,
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,,519055,
Income of individuals in 2020,    Average government transfers in 2020 among recipients ($),,10110,
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,53365,
