Topic,Characteristic,Note,Total
Population and dwellings,"Population, 2021",1,213759
Population and dwellings,"Population, 2016",1,193832
Population and dwellings,"Population percentage change, 2016 to 2021",,10.3
Population and dwellings,Total private dwellings,2,76179
Population and dwellings,Private dwellings occupied by usual residents,3,73558
Population and dwellings,Population density per square kilometre,,1538.5
Population and dwellings,Land area in square kilometres,,138.94
Age characteristics,Total - Age groups of the population - 100% data,,213760
Age characteristics,  0 to 14 years,,38435
Age characteristics,    0 to 4 years,,9280
Age characteristics,    5 to 9 years,,12875
Age characteristics,    10 to 14 years,,16285
Age characteristics,  15 to 64 years,,141725
Age characteristics,    15 to 19 years,,16665
Age characteristics,    20 to 24 years,,13375
Age characteristics,    25 to 29 years,,10175
Age characteristics,    30 to 34 years,,10315
Age characteristics,    35 to 39 years,,12755
Age characteristics,    40 to 44 years,,15105
Age characteristics,    45 to 49 years,,17780
Age characteristics,    50 to 54 years,,17615
Age characteristics,    55 to 59 years,,15255
Age characteristics,    60 to 64 years,,12680
Age characteristics,  65 years and over,,33595
Age characteristics,    65 to 69 years,,9665
Age characteristics,    70 to 74 years,,8345
Age characteristics,    75 to 79 years,,6300
Age characteristics,    80 to 84 years,,4530
Age characteristics,    85 years and over,,4760
Age characteristics,      85 to 89 years,,2910
Age characteristics,      90 to 94 years,,1455
Age characteristics,      95 to 99 years,,360
Age characteristics,      100 years and over,,40
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100
Age characteristics,  0 to 14 years,,18
Age characteristics,  15 to 64 years,,66.3
Age characteristics,  65 years and over,,15.7
Age characteristics,    85 years and over,,2.2
Age characteristics,Average age of the population,,40.4
Age characteristics,Median age of the population,,41.6
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,73555
Household and dwelling characteristics,  Single-detached house,,43130
Household and dwelling characteristics,  Semi-detached house,,3310
Household and dwelling characteristics,  Row house,,12470
Household and dwelling characteristics,  Apartment or flat in a duplex,,950
Household and dwelling characteristics,  Apartment in a building that has fewer than five storeys,,4680
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,8955
Household and dwelling characteristics,  Other single-attached house,,60
Household and dwelling characteristics,  Movable dwelling,4,0
Household and dwelling characteristics,Total - Private households by household size - 100% data,,73560
Household and dwelling characteristics,  1 person,,13425
Household and dwelling characteristics,  2 persons,,20490
Household and dwelling characteristics,  3 persons,,14040
Household and dwelling characteristics,  4 persons,,16660
Household and dwelling characteristics,  5 or more persons,,8950
Household and dwelling characteristics,Number of persons in private households,,212055
Household and dwelling characteristics,Average household size,,2.9
Marital status,Total - Marital status for the total population aged 15 years and over - 100% data,,175320
Marital status,  Married or living common-law,,107775
Marital status,    Married,,99815
Marital status,    Living common-law,,7965
Marital status,      Living common law - Never married,,5140
Marital status,      Living common law - Separated,,380
Marital status,      Living common law - Divorced,,2205
Marital status,      Living common law - Widowed,,240
Marital status,  Not married and not living common-law,,67540
Marital status,    Not married and not living common law - Never married,,48125
Marital status,    Not married and not living common law - Separated,,3710
Marital status,    Not married and not living common law - Divorced,,7855
Marital status,    Not married and not living common law - Widowed,,7860
Family characteristics,Total - Census families in private households by family size - 100% data,5,60680
Family characteristics,  2 persons,,22795
Family characteristics,  3 persons,,14555
Family characteristics,  4 persons,,17150
Family characteristics,  5 or more persons,,6180
Family characteristics,Average size of census families,,3.1
Family characteristics,Average number of children in census families with children,6,1.8
Family characteristics,Total number of census families in private households - 100% data,,60680
Family characteristics,  Total couple families,,52555
Family characteristics,    Married couples,,48575
Family characteristics,      With children,6,32900
Family characteristics,      Without children,,15675
Family characteristics,    Common-law couples,,3980
Family characteristics,      With children,6,1485
Family characteristics,      Without children,,2495
Family characteristics,  Total one-parent families,,8125
Family characteristics,    in which the parent is a woman+,,6545
Family characteristics,    in which the parent is a man+,,1575
Family characteristics,Total - Persons in private households - 100% data,,212060
Family characteristics,  Total - Persons in census families,,190240
Family characteristics,    Married spouses or common-law partners,,105110
Family characteristics,    Parents in one-parent families,,8120
Family characteristics,    Children,6,77010
Family characteristics,      In a two-parent family,,64310
Family characteristics,      In a one-parent family,,12705
Family characteristics,  Total - Persons not in census families in private households - 100% data,,21815
Family characteristics,    Living alone,,13420
Family characteristics,    Living with other relatives,7,4175
Family characteristics,    Living with non-relatives only,,4220
Household type,Total - Household type - 100% data,,73560
Household type,  One-census-family households without additional persons,,52835
Household type,    Couple-family households,,46285
Household type,      With children,6,30675
Household type,      Without children,,15610
Household type,    One-parent-family households,,6555
Household type,  Multigenerational households,8,3270
Household type,  Multiple-census-family households,9,480
Household type,  One-census-family households with additional persons,9,1875
Household type,  Two-or-more-person non-census-family households ,,1675
Household type,  One-person households,,13420
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,10,173625
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,,164380
Income of individuals in 2020,    Median total income in 2020 among recipients ($),,47200
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,,164495
Income of individuals in 2020,    Median after-tax income in 2020 among recipients ($),,42000
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,,151800
Income of individuals in 2020,    Median market income in 2020 among recipients ($),,43600
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,,121885
Income of individuals in 2020,    Median employment income in 2020 among recipients ($),,46800
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,,142625
Income of individuals in 2020,    Median government transfers in 2020 among recipients ($),,5880
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,,10765
Income of individuals in 2020,    Median employment insurance benefits in 2020 among recipients ($),,5600
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,,45055
Income of individuals in 2020,    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($),,8000
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,11,173625
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,,164420
Income of individuals in 2020,    Average total income in 2020 among recipients ($),,81800
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,,164560
Income of individuals in 2020,    Average after-tax income in 2020 among recipients ($),,61000
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,,151890
Income of individuals in 2020,    Average market income in 2020 among recipients ($),,80400
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,,121885
Income of individuals in 2020,    Average employment income in 2020 among recipients ($),,81500
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,,142425
Income of individuals in 2020,    Average government transfers in 2020 among recipients ($),,8760
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,10720
Income of individuals in 2020,    Average employment insurance benefits in 2020 among recipients ($),,6890
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,45015
Income of individuals in 2020,    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($),,9050
Income of individuals in 2020,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,12,173625
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data,13,60755
Income of individuals in 2020,    Median employment income in 2020 for full-year full-time workers in 2020 ($),14,91000
Income of individuals in 2020,    Average employment income in 2020 for full-year full-time workers in 2020 ($),15,127300
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data,16,45015
Income of individuals in 2020,    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($),,16200
Income of individuals in 2020,    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($),,40880
Income of individuals in 2020,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,17,100
Income of individuals in 2020,  Market income (%),18,90.8
Income of individuals in 2020,    Employment income (%),19,73.8
Income of individuals in 2020,  Government transfers (%),20,9.3
Income of individuals in 2020,    Employment insurance benefits (%),,0.6
Income of individuals in 2020,    COVID-19 - Government income support and benefits (%),,3.4
Income of individuals in 2020,      COVID-19 - Emergency and recovery benefits (%),,3
Income of individuals in 2020,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,21,173625
Income of individuals in 2020,  Without total income,,9245
Income of individuals in 2020,  With total income,,164375
Income of individuals in 2020,"    Under $10,000 (including loss)",,19070
Income of individuals in 2020,"    $10,000 to $19,999",,18710
Income of individuals in 2020,"    $20,000 to $29,999",,20090
Income of individuals in 2020,"    $30,000 to $39,999",,14975
Income of individuals in 2020,"    $40,000 to $49,999",,12640
Income of individuals in 2020,"    $50,000 to $59,999",,10785
Income of individuals in 2020,"    $60,000 to $69,999",,9270
Income of individuals in 2020,"    $70,000 to $79,999",,8150
Income of individuals in 2020,"    $80,000 to $89,999",,6945
Income of individuals in 2020,"    $90,000 to $99,999",,6135
Income of individuals in 2020,"    $100,000 and over",,37610
Income of individuals in 2020,"      $100,000 to $149,999",,19385
Income of individuals in 2020,"      $150,000 and over",,18225
Income of individuals in 2020,Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data,22,173625
Income of individuals in 2020,  Without after-tax income,,9130
