Topic,Characteristic,Note,Total
Population and dwellings,"Population, 2021",1,202022
Population and dwellings,"Population, 2016",1,195022
Population and dwellings,"Population percentage change, 2016 to 2021",,3.6
Population and dwellings,Total private dwellings,2,72017
Population and dwellings,Private dwellings occupied by usual residents,3,69314
Population and dwellings,Population density per square kilometre,,2004.4
Population and dwellings,Land area in square kilometres,,100.79
Age characteristics,Total - Age groups of the population - 100% data,,202020
Age characteristics,  0 to 14 years,,29970
Age characteristics,    0 to 4 years,,7555
Age characteristics,    5 to 9 years,,9990
Age characteristics,    10 to 14 years,,12430
Age characteristics,  15 to 64 years,,137390
Age characteristics,    15 to 19 years,,13730
Age characteristics,    20 to 24 years,,12525
Age characteristics,    25 to 29 years,,11625
Age characteristics,    30 to 34 years,,11480
Age characteristics,    35 to 39 years,,11880
Age characteristics,    40 to 44 years,,13075
Age characteristics,    45 to 49 years,,16060
Age characteristics,    50 to 54 years,,17335
Age characteristics,    55 to 59 years,,16040
Age characteristics,    60 to 64 years,,13640
Age characteristics,  65 years and over,,34665
Age characteristics,    65 to 69 years,,10840
Age characteristics,    70 to 74 years,,9340
Age characteristics,    75 to 79 years,,5900
Age characteristics,    80 to 84 years,,4405
Age characteristics,    85 years and over,,4180
Age characteristics,      85 to 89 years,,2645
Age characteristics,      90 to 94 years,,1185
Age characteristics,      95 to 99 years,,300
Age characteristics,      100 years and over,,55
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100
Age characteristics,  0 to 14 years,,14.8
Age characteristics,  15 to 64 years,,68
Age characteristics,  65 years and over,,17.2
Age characteristics,    85 years and over,,2.1
Age characteristics,Average age of the population,,42.2
Age characteristics,Median age of the population,,43.6
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,69315
Household and dwelling characteristics,  Single-detached house,,39295
Household and dwelling characteristics,  Semi-detached house,,2665
Household and dwelling characteristics,  Row house,,10505
Household and dwelling characteristics,  Apartment or flat in a duplex,,2135
Household and dwelling characteristics,  Apartment in a building that has fewer than five storeys,,1695
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,12960
Household and dwelling characteristics,  Other single-attached house,,50
Household and dwelling characteristics,  Movable dwelling,4,5
Household and dwelling characteristics,Total - Private households by household size - 100% data,,69315
Household and dwelling characteristics,  1 person,,12180
Household and dwelling characteristics,  2 persons,,18935
Household and dwelling characteristics,  3 persons,,15080
Household and dwelling characteristics,  4 persons,,14770
Household and dwelling characteristics,  5 or more persons,,8350
Household and dwelling characteristics,Number of persons in private households,,200925
Household and dwelling characteristics,Average household size,,2.9
Marital status,Total - Marital status for the total population aged 15 years and over - 100% data,,172050
Marital status,  Married or living common-law,,103785
Marital status,    Married,,98025
Marital status,    Living common-law,,5765
Marital status,      Living common law - Never married,,3830
Marital status,      Living common law - Separated,,270
Marital status,      Living common law - Divorced,,1520
Marital status,      Living common law - Widowed,,140
Marital status,  Not married and not living common-law,,68265
Marital status,    Not married and not living common law - Never married,,48195
Marital status,    Not married and not living common law - Separated,,3635
Marital status,    Not married and not living common law - Divorced,,8610
Marital status,    Not married and not living common law - Widowed,,7825
Family characteristics,Total - Census families in private households by family size - 100% data,5,59055
Family characteristics,  2 persons,,23335
Family characteristics,  3 persons,,16355
Family characteristics,  4 persons,,15165
Family characteristics,  5 or more persons,,4200
Family characteristics,Average size of census families,,3
Family characteristics,Average number of children in census families with children,6,1.7
Family characteristics,Total number of census families in private households - 100% data,,59055
Family characteristics,  Total couple families,,50260
Family characteristics,    Married couples,,47380
Family characteristics,      With children,6,31160
Family characteristics,      Without children,,16220
Family characteristics,    Common-law couples,,2880
Family characteristics,      With children,6,1095
Family characteristics,      Without children,,1785
Family characteristics,  Total one-parent families,,8795
Family characteristics,    in which the parent is a woman+,,7165
Family characteristics,    in which the parent is a man+,,1630
Family characteristics,Total - Persons in private households - 100% data,,200925
Family characteristics,  Total - Persons in census families,,178290
Family characteristics,    Married spouses or common-law partners,,100515
Family characteristics,    Parents in one-parent families,,8795
Family characteristics,    Children,6,68980
