Topic,Characteristic,Note,Total
Population and dwellings,"Population, 2021",1,587165
Population and dwellings,"Population, 2016",1,535154
Population and dwellings,"Population percentage change, 2016 to 2021",,9.7
Population and dwellings,Total private dwellings,2,233253
Population and dwellings,Private dwellings occupied by usual residents,3,222426
Population and dwellings,Population density per square kilometre,,428.6
Population and dwellings,Land area in square kilometres,,1370.07
Age characteristics,Total - Age groups of the population - 100% data,,587165
Age characteristics,  0 to 14 years,,101370
Age characteristics,    0 to 4 years,,31580
Age characteristics,    5 to 9 years,,34215
Age characteristics,    10 to 14 years,,35575
Age characteristics,  15 to 64 years,,394500
Age characteristics,    15 to 19 years,,35700
Age characteristics,    20 to 24 years,,42630
Age characteristics,    25 to 29 years,,45960
Age characteristics,    30 to 34 years,,43680
Age characteristics,    35 to 39 years,,41465
Age characteristics,    40 to 44 years,,38015
Age characteristics,    45 to 49 years,,37015
Age characteristics,    50 to 54 years,,37140
Age characteristics,    55 to 59 years,,38645
Age characteristics,    60 to 64 years,,34250
Age characteristics,  65 years and over,,91295
Age characteristics,    65 to 69 years,,28280
Age characteristics,    70 to 74 years,,23690
Age characteristics,    75 to 79 years,,16380
Age characteristics,    80 to 84 years,,11250
Age characteristics,    85 years and over,,11695
Age characteristics,      85 to 89 years,,7025
Age characteristics,      90 to 94 years,,3540
Age characteristics,      95 to 99 years,,1020
Age characteristics,      100 years and over,,115
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100
Age characteristics,  0 to 14 years,,17.3
Age characteristics,  15 to 64 years,,67.2
Age characteristics,  65 years and over,,15.5
Age characteristics,    85 years and over,,2
Age characteristics,Average age of the population,,39.4
Age characteristics,Median age of the population,,38
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,222425
Household and dwelling characteristics,  Single-detached house,,118890
Household and dwelling characteristics,  Semi-detached house,,13235
Household and dwelling characteristics,  Row house,,25630
Household and dwelling characteristics,  Apartment or flat in a duplex,,6275
Household and dwelling characteristics,  Apartment in a building that has fewer than five storeys,,29150
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,28680
Household and dwelling characteristics,  Other single-attached house,,305
Household and dwelling characteristics,  Movable dwelling,4,260
Household and dwelling characteristics,Total - Private households by household size - 100% data,,222425
Household and dwelling characteristics,  1 person,,54845
Household and dwelling characteristics,  2 persons,,73200
Household and dwelling characteristics,  3 persons,,36150
Household and dwelling characteristics,  4 persons,,35775
Household and dwelling characteristics,  5 or more persons,,22455
Household and dwelling characteristics,Number of persons in private households,,579380
Household and dwelling characteristics,Average household size,,2.6
Marital status,Total - Marital status for the total population aged 15 years and over - 100% data,,485795
Marital status,  Married or living common-law,,278045
Marital status,    Married,,234230
Marital status,    Living common-law,,43810
Marital status,      Living common law - Never married,,31860
Marital status,      Living common law - Separated,,2395
Marital status,      Living common law - Divorced,,8675
Marital status,      Living common law - Widowed,,885
Marital status,  Not married and not living common-law,,207755
Marital status,    Not married and not living common law - Never married,,145320
Marital status,    Not married and not living common law - Separated,,13570
Marital status,    Not married and not living common law - Divorced,,25940
Marital status,    Not married and not living common law - Widowed,,22925
Family characteristics,Total - Census families in private households by family size - 100% data,5,161260
Family characteristics,  2 persons,,76600
Family characteristics,  3 persons,,34985
Family characteristics,  4 persons,,34125
Family characteristics,  5 or more persons,,15555
Family characteristics,Average size of census families,,3
Family characteristics,Average number of children in census families with children,6,1.8
Family characteristics,Total number of census families in private households - 100% data,,161265
Family characteristics,  Total couple families,,135685
Family characteristics,    Married couples,,113790
Family characteristics,      With children,6,66030
Family characteristics,      Without children,,47765
Family characteristics,    Common-law couples,,21895
Family characteristics,      With children,6,8015
Family characteristics,      Without children,,13885
Family characteristics,  Total one-parent families,,25575
Family characteristics,    in which the parent is a woman+,,20165
Family characteristics,    in which the parent is a man+,,5410
Family characteristics,Total - Persons in private households - 100% data,,579380
Family characteristics,  Total - Persons in census families,,479495
Family characteristics,    Married spouses or common-law partners,,271370
Family characteristics,    Parents in one-parent families,,25575
Family characteristics,    Children,6,182545
Family characteristics,      In a two-parent family,,142175
Family characteristics,      In a one-parent family,,40375
Family characteristics,  Total - Persons not in census families in private households - 100% data,,99890
Family characteristics,    Living alone,,54845
Family characteristics,    Living with other relatives,7,14310
Family characteristics,    Living with non-relatives only,,30735
Household type,Total - Household type - 100% data,,222430
Household type,  One-census-family households without additional persons,,139560
Household type,    Couple-family households,,119870
Household type,      With children,6,65765
Household type,      Without children,,54105
Household type,    One-parent-family households,,19690
Household type,  Multigenerational households,8,7470
Household type,  Multiple-census-family households,9,1495
Household type,  One-census-family households with additional persons,9,7180
Household type,  Two-or-more-person non-census-family households ,,11875
Household type,  One-person households,,54845
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 100% data,10,478145
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 100% data,,457230
Income of individuals in 2020,    Median total income in 2020 among recipients ($),,42400
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 100% data,,457445
Income of individuals in 2020,    Median after-tax income in 2020 among recipients ($),,38400
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 100% data,,411950
Income of individuals in 2020,    Median market income in 2020 among recipients ($),,38000
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 100% data,,345310
Income of individuals in 2020,    Median employment income in 2020 among recipients ($),,40000
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 100% data,,410285
Income of individuals in 2020,    Median government transfers in 2020 among recipients ($),,7250
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 100% data,,41225
Income of individuals in 2020,    Median employment insurance benefits in 2020 among recipients ($),,5480
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 100% data,,131085
Income of individuals in 2020,    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($),,8000
Income of individuals in 2020,Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,11,478140
Income of individuals in 2020,  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data,,457090
Income of individuals in 2020,    Average total income in 2020 among recipients ($),,54750
Income of individuals in 2020,  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data,,457315
Income of individuals in 2020,    Average after-tax income in 2020 among recipients ($),,45600
Income of individuals in 2020,  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data,,411745
Income of individuals in 2020,    Average market income in 2020 among recipients ($),,51040
Income of individuals in 2020,  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data,,345315
Income of individuals in 2020,    Average employment income in 2020 among recipients ($),,51200
Income of individuals in 2020,  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data,,410335
Income of individuals in 2020,    Average government transfers in 2020 among recipients ($),,9770
Income of individuals in 2020,  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,40905
Income of individuals in 2020,    Average employment insurance benefits in 2020 among recipients ($),,6520
Income of individuals in 2020,  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data,,131300
Income of individuals in 2020,    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($),,8410
Income of individuals in 2020,Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data,12,478140
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data,13,171065
Income of individuals in 2020,    Median employment income in 2020 for full-year full-time workers in 2020 ($),14,65000
Income of individuals in 2020,    Average employment income in 2020 for full-year full-time workers in 2020 ($),15,77700
Income of individuals in 2020,  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data,16,133560
Income of individuals in 2020,    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($),,18400
Income of individuals in 2020,    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($),,27560
Income of individuals in 2020,Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data,17,100
Income of individuals in 2020,  Market income (%),18,84
Income of individuals in 2020,    Employment income (%),19,70.6
Income of individuals in 2020,  Government transfers (%),20,16
Income of individuals in 2020,    Employment insurance benefits (%),,1.1
Income of individuals in 2020,    COVID-19 - Government income support and benefits (%),,5.1
Income of individuals in 2020,      COVID-19 - Emergency and recovery benefits (%),,4.4
Income of individuals in 2020,Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data,21,478140
Income of individuals in 2020,  Without total income,,20910
Income of individuals in 2020,  With total income,,457230
Income of individuals in 2020,"    Under $10,000 (including loss)",,38745
Income of individuals in 2020,"    $10,000 to $19,999",,53085
Income of individuals in 2020,"    $20,000 to $29,999",,67290
Income of individuals in 2020,"    $30,000 to $39,999",,56395
Income of individuals in 2020,"    $40,000 to $49,999",,50835
Income of individuals in 2020,"    $50,000 to $59,999",,43830
