Topic,Characteristic,Note,Total
Population and dwellings,"Population, 2021",1,138501
Population and dwellings,"Population, 2016",1,128377
Population and dwellings,"Population percentage change, 2016 to 2021",,7.9
Population and dwellings,Total private dwellings,2,47389
Population and dwellings,Private dwellings occupied by usual residents,3,46460
Population and dwellings,Population density per square kilometre,,944.1
Population and dwellings,Land area in square kilometres,,146.69
Age characteristics,Total - Age groups of the population - 100% data,,138505
Age characteristics,  0 to 14 years,,26425
Age characteristics,    0 to 4 years,,7345
Age characteristics,    5 to 9 years,,8965
Age characteristics,    10 to 14 years,,10110
Age characteristics,  15 to 64 years,,91640
Age characteristics,    15 to 19 years,,9620
Age characteristics,    20 to 24 years,,8160
Age characteristics,    25 to 29 years,,7165
Age characteristics,    30 to 34 years,,8320
Age characteristics,    35 to 39 years,,9810
Age characteristics,    40 to 44 years,,9850
Age characteristics,    45 to 49 years,,10500
Age characteristics,    50 to 54 years,,10010
Age characteristics,    55 to 59 years,,10085
Age characteristics,    60 to 64 years,,8110
Age characteristics,  65 years and over,,20440
Age characteristics,    65 to 69 years,,6370
Age characteristics,    70 to 74 years,,5330
Age characteristics,    75 to 79 years,,3555
Age characteristics,    80 to 84 years,,2345
Age characteristics,    85 years and over,,2830
Age characteristics,      85 to 89 years,,1680
Age characteristics,      90 to 94 years,,915
Age characteristics,      95 to 99 years,,200
Age characteristics,      100 years and over,,35
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,,100
Age characteristics,  0 to 14 years,,19.1
Age characteristics,  15 to 64 years,,66.2
Age characteristics,  65 years and over,,14.8
Age characteristics,    85 years and over,,2
Age characteristics,Average age of the population,,39.5
Age characteristics,Median age of the population,,40
Household and dwelling characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,46460
Household and dwelling characteristics,  Single-detached house,,32300
Household and dwelling characteristics,  Semi-detached house,,1385
Household and dwelling characteristics,  Row house,,6135
Household and dwelling characteristics,  Apartment or flat in a duplex,,870
Household and dwelling characteristics,  Apartment in a building that has fewer than five storeys,,2440
Household and dwelling characteristics,  Apartment in a building that has five or more storeys,,3305
Household and dwelling characteristics,  Other single-attached house,,20
Household and dwelling characteristics,  Movable dwelling,4,10
Household and dwelling characteristics,Total - Private households by household size - 100% data,,46460
Household and dwelling characteristics,  1 person,,8010
Household and dwelling characteristics,  2 persons,,12775
Household and dwelling characteristics,  3 persons,,8990
Household and dwelling characteristics,  4 persons,,10525
Household and dwelling characteristics,  5 or more persons,,6150
Household and dwelling characteristics,Number of persons in private households,,136665
Household and dwelling characteristics,Average household size,,2.9
Marital status,Total - Marital status for the total population aged 15 years and over - 100% data,,112075
Marital status,  Married or living common-law,,67085
Marital status,    Married,,59440
Marital status,    Living common-law,,7640
Marital status,      Living common law - Never married,,4980
Marital status,      Living common law - Separated,,505
Marital status,      Living common law - Divorced,,1950
Marital status,      Living common law - Widowed,,205
Marital status,  Not married and not living common-law,,44995
Marital status,    Not married and not living common law - Never married,,31125
Marital status,    Not married and not living common law - Separated,,2975
Marital status,    Not married and not living common law - Divorced,,5605
Marital status,    Not married and not living common law - Widowed,,5295
Family characteristics,Total - Census families in private households by family size - 100% data,5,39250
Family characteristics,  2 persons,,15015
Family characteristics,  3 persons,,9510
Family characteristics,  4 persons,,10620
Family characteristics,  5 or more persons,,4100
Family characteristics,Average size of census families,,3.1
Family characteristics,Average number of children in census families with children,6,1.8
Family characteristics,Total number of census families in private households - 100% data,,39250
Family characteristics,  Total couple families,,32880
Family characteristics,    Married couples,,29055
Family characteristics,      With children,6,19550
Family characteristics,      Without children,,9510
Family characteristics,    Common-law couples,,3815
Family characteristics,      With children,6,1800
Family characteristics,      Without children,,2020
Family characteristics,  Total one-parent families,,6370
Family characteristics,    in which the parent is a woman+,,5045
Family characteristics,    in which the parent is a man+,,1330
Family characteristics,Total - Persons in private households - 100% data,,136665
Family characteristics,  Total - Persons in census families,,122660
Family characteristics,    Married spouses or common-law partners,,65750
Family characteristics,    Parents in one-parent families,,6375
Family characteristics,    Children,6,50535
Family characteristics,      In a two-parent family,,40260
Family characteristics,      In a one-parent family,,10270
Family characteristics,  Total - Persons not in census families in private households - 100% data,,14005
Family characteristics,    Living alone,,8010
Family characteristics,    Living with other relatives,7,3375
Family characteristics,    Living with non-relatives only,,2625
Household type,Total - Household type - 100% data,,46460
Household type,  One-census-family households without additional persons,,32800
Household type,    Couple-family households,,28185
Household type,      With children,6,18625
Household type,      Without children,,9560
Household type,    One-parent-family households,,4615
Household type,  Multigenerational households,8,2580
